epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.202,1.1903,1.46228,1.24581,0.65747,0.51681,0.57368,0.40949,1.08523,1.10513,1.11876,3.95922e-05,3.95922e-05,3.95922e-05
2,244.381,1.1906,1.47855,1.23751,0.63457,0.4994,0.54825,0.38891,1.11551,1.17044,1.13399,7.76896e-05,7.76896e-05,7.76896e-05
3,350.753,1.18954,1.48243,1.24225,0.64,0.48977,0.53492,0.3756,1.12896,1.20108,1.15294,0.000114216,0.000114216,0.000114216
4,456.577,1.20128,1.50304,1.24743,0.57916,0.48646,0.52214,0.36694,1.14369,1.22686,1.15879,0.000111931,0.000111931,0.000111931
5,559.949,1.19273,1.48289,1.24271,0.62392,0.48398,0.52249,0.36725,1.13996,1.21764,1.15998,0.000109575,0.000109575,0.000109575
6,660.974,1.18478,1.46304,1.23646,0.63099,0.46869,0.52044,0.3702,1.14568,1.22497,1.16591,0.000107219,0.000107219,0.000107219
7,762.561,1.17658,1.4344,1.23646,0.61467,0.46629,0.51515,0.36066,1.15195,1.25024,1.16981,0.000104863,0.000104863,0.000104863
8,864.212,1.16934,1.4333,1.2334,0.63983,0.45956,0.51377,0.35988,1.15595,1.24626,1.17093,0.000102507,0.000102507,0.000102507
9,965.996,1.17336,1.41283,1.22905,0.61981,0.46127,0.50902,0.35461,1.15316,1.2405,1.17025,0.00010015,0.00010015,0.00010015
10,1068.42,1.17105,1.39457,1.22504,0.59205,0.46687,0.50399,0.35051,1.16023,1.25004,1.16998,9.77942e-05,9.77942e-05,9.77942e-05
11,1171.33,1.16915,1.39316,1.22605,0.62303,0.45244,0.50878,0.35147,1.1714,1.26114,1.17916,9.5438e-05,9.5438e-05,9.5438e-05
12,1272.48,1.16628,1.37661,1.22086,0.6276,0.4632,0.50905,0.35737,1.15625,1.23046,1.1701,9.30818e-05,9.30818e-05,9.30818e-05
13,1373.73,1.15335,1.37153,1.2199,0.60958,0.46109,0.50274,0.35243,1.15972,1.24792,1.17197,9.07256e-05,9.07256e-05,9.07256e-05
14,1476.2,1.15325,1.36804,1.21664,0.59246,0.46639,0.50069,0.34788,1.16373,1.25682,1.17571,8.83694e-05,8.83694e-05,8.83694e-05
15,1579.07,1.14647,1.34525,1.21128,0.59895,0.45598,0.50135,0.3497,1.16405,1.25104,1.17381,8.60132e-05,8.60132e-05,8.60132e-05
16,1681.41,1.1419,1.33364,1.20946,0.60716,0.46889,0.50534,0.35241,1.16325,1.24822,1.17805,8.3657e-05,8.3657e-05,8.3657e-05
17,1801.09,1.14509,1.31993,1.2083,0.5955,0.45854,0.50128,0.34993,1.16696,1.26039,1.17847,8.13008e-05,8.13008e-05,8.13008e-05
18,1917.82,1.14152,1.33304,1.2083,0.58024,0.47331,0.50536,0.35269,1.15968,1.24488,1.17417,7.89446e-05,7.89446e-05,7.89446e-05
19,2019.49,1.13749,1.31144,1.20702,0.61398,0.4548,0.50273,0.34835,1.16271,1.24924,1.17608,7.65884e-05,7.65884e-05,7.65884e-05
20,2121.13,1.12332,1.29485,1.19833,0.61188,0.46071,0.50059,0.35059,1.159,1.25157,1.17602,7.42322e-05,7.42322e-05,7.42322e-05
21,2222.43,1.13233,1.29068,1.19912,0.58405,0.46555,0.50003,0.34978,1.15748,1.25028,1.17054,7.1876e-05,7.1876e-05,7.1876e-05
22,2323.37,1.13278,1.2857,1.20603,0.60149,0.44603,0.4973,0.34581,1.16278,1.25096,1.17135,6.95198e-05,6.95198e-05,6.95198e-05
23,2424.54,1.11778,1.28769,1.19598,0.60898,0.46056,0.49942,0.34903,1.15864,1.23962,1.17527,6.71636e-05,6.71636e-05,6.71636e-05
24,2527.1,1.12589,1.26928,1.19598,0.59881,0.45906,0.4998,0.35107,1.15821,1.24446,1.17208,6.48074e-05,6.48074e-05,6.48074e-05
25,2630.72,1.12144,1.26346,1.1893,0.57144,0.46981,0.50174,0.34837,1.15834,1.24114,1.17234,6.24512e-05,6.24512e-05,6.24512e-05
26,2739.28,1.115,1.25238,1.18904,0.5912,0.46765,0.49735,0.34865,1.15832,1.25286,1.17553,6.0095e-05,6.0095e-05,6.0095e-05
27,2863.82,1.11255,1.24837,1.1928,0.60765,0.46066,0.49854,0.34682,1.16189,1.24952,1.18173,5.77388e-05,5.77388e-05,5.77388e-05
28,2986.57,1.11267,1.2437,1.18726,0.59174,0.45034,0.49852,0.34726,1.1622,1.24454,1.17495,5.53826e-05,5.53826e-05,5.53826e-05
29,3104.16,1.10879,1.23831,1.18913,0.5928,0.45664,0.49962,0.3473,1.1581,1.24553,1.17334,5.30264e-05,5.30264e-05,5.30264e-05
30,3214.03,1.11133,1.24556,1.1878,0.57136,0.46696,0.49532,0.3455,1.15747,1.25044,1.17163,5.06702e-05,5.06702e-05,5.06702e-05
31,3328.8,1.10694,1.22747,1.18374,0.59362,0.459,0.49903,0.34808,1.15497,1.25124,1.17036,4.8314e-05,4.8314e-05,4.8314e-05
32,3439.34,1.10147,1.22263,1.18296,0.60378,0.45791,0.50101,0.34933,1.16179,1.24771,1.17697,4.59578e-05,4.59578e-05,4.59578e-05
33,3558.54,1.09856,1.20853,1.18155,0.59451,0.46271,0.50354,0.35217,1.1612,1.24069,1.17655,4.36016e-05,4.36016e-05,4.36016e-05
34,3673.54,1.0978,1.21747,1.17917,0.5651,0.47104,0.49923,0.3507,1.16439,1.25192,1.17947,4.12454e-05,4.12454e-05,4.12454e-05
35,3789.86,1.10658,1.20179,1.18074,0.57806,0.46062,0.49926,0.34943,1.1645,1.24682,1.1764,3.88892e-05,3.88892e-05,3.88892e-05
36,3904.38,1.09712,1.19262,1.17882,0.57928,0.46752,0.50038,0.34907,1.16639,1.24726,1.17641,3.6533e-05,3.6533e-05,3.6533e-05
37,4006.11,1.10221,1.21013,1.18029,0.58574,0.47142,0.50058,0.34716,1.16319,1.24248,1.17482,3.41768e-05,3.41768e-05,3.41768e-05
38,4108.2,1.09406,1.20278,1.17827,0.60365,0.46084,0.50105,0.35001,1.16278,1.24512,1.17691,3.18206e-05,3.18206e-05,3.18206e-05
39,4210.57,1.0809,1.17527,1.16766,0.60755,0.46186,0.5049,0.35204,1.15971,1.24222,1.1742,2.94644e-05,2.94644e-05,2.94644e-05
40,4313.16,1.08933,1.18819,1.17329,0.61572,0.45816,0.50358,0.35169,1.15673,1.23604,1.17268,2.71082e-05,2.71082e-05,2.71082e-05
41,4408.86,1.09187,1.14648,1.16271,0.60282,0.45064,0.492,0.34374,1.16558,1.26431,1.1798,2.4752e-05,2.4752e-05,2.4752e-05
42,4504.63,1.07345,1.1038,1.15697,0.58484,0.46723,0.49519,0.34395,1.17322,1.2628,1.18427,2.23958e-05,2.23958e-05,2.23958e-05
43,4609.5,1.0676,1.08041,1.14487,0.5649,0.48012,0.49568,0.3446,1.17349,1.25897,1.18348,2.00396e-05,2.00396e-05,2.00396e-05
